bank,date,var_99_gaussian,var_99_boa_factor
morganstanley,2008-12-31,203.66194801342306,288.0
jpmorgan,2008-12-31,231.94832968195405,328.0
citigroup,2008-12-31,295.0,295.0
bankofamerica,2008-12-31,171.3,171.3
wellsfargo,2008-12-31,19.0,19.0
bny,2008-12-31,14.7,14.7
statestreet,2008-12-31,5.13,5.13
goldmansachs,2008-09-30,345.093856356078,488.0
morganstanley,2008-09-30,190.93307626258414,270.0
jpmorgan,2008-09-30,248.92015868307266,352.0
citigroup,2008-09-30,240.0,240.0
bankofamerica,2008-09-30,94.6,94.6
wellsfargo,2008-09-30,25.0,25.0
bny,2008-09-30,7.6,7.6
statestreet,2008-09-30,5.13,5.13
goldmansachs,2008-06-30,274.37790218475055,388.0
morganstanley,2008-06-30,166.8896518443328,236.0
jpmorgan,2008-06-30,210.7335434305558,298.0
citigroup,2008-06-30,292.0,292.0
bankofamerica,2008-06-30,87.5,87.5
wellsfargo,2008-06-30,15.0,15.0
bny,2008-06-30,10.9,10.9
statestreet,2008-06-30,5.13,5.13
goldmansachs,2008-03-31,241.8485632659399,342.0
morganstanley,2008-03-31,151.33214192664076,214.0
jpmorgan,2008-03-31,172.546928178039,244.0
citigroup,2008-03-31,341.0,341.0
bankofamerica,2008-03-31,90.1,90.1
wellsfargo,2008-03-31,13.0,13.0
bny,2008-03-31,10.8,10.8
statestreet,2008-03-31,5.13,5.13
goldmansachs,2007-12-31,195.17603351286377,276.0
morganstanley,2007-12-31,117.38848392440357,166.0
jpmorgan,2007-12-31,149.9178228432142,212.0
citigroup,2007-12-31,191.0,191.0
bankofamerica,2007-12-31,69.8,69.8
wellsfargo,2007-12-31,18.0,18.0
bny,2007-12-31,8.8,8.8
statestreet,2007-12-31,5.13,5.13
goldmansachs,2007-09-30,185.27579992887794,262.0
morganstanley,2007-09-30,118.80280300783012,168.0
jpmorgan,2007-09-30,151.33214192664076,214.0
citigroup,2007-09-30,141.0,141.0
bankofamerica,2007-09-30,46.7,46.7
wellsfargo,2007-09-30,35.0,35.0
bny,2007-09-30,11.4,11.4
statestreet,2007-09-30,5.13,5.13
goldmansachs,2007-06-30,190.93307626258414,270.0
morganstanley,2007-06-30,131.53167475866906,186.0
jpmorgan,2007-06-30,155.5750991769204,220.0
citigroup,2007-06-30,138.0,138.0
bankofamerica,2007-06-30,42.7,42.7
wellsfargo,2007-06-30,10.0,10.0
bny,2007-06-30,9.5,9.5
statestreet,2007-06-30,5.13,5.13
goldmansachs,2007-03-31,217.80513884768857,308.0
morganstanley,2007-03-31,110.31688850727083,156.0
jpmorgan,2007-03-31,117.38848392440357,166.0
citigroup,2007-03-31,102.0,102.0
bankofamerica,2007-03-31,41.3,41.3
wellsfargo,2007-03-31,12.0,12.0
bny,2007-03-31,9.1,9.1
statestreet,2007-03-31,5.13,5.13
