date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,dividend_payout_ratio,repo,total_var
2005-09-30,2005,3,bny,101766.0,9608.0,92158.0,,,,1.2,48.35,3349.0,
2005-09-30,2005,3,citigroup,1472793.0,111837.0,1360956.0,,,,1.41,44.78,243819.0,
2005-09-30,2005,3,citigroup,1472793.0,111837.0,1360956.0,,,,1.41,44.78,243819.0,
2005-09-30,2005,3,jpmorgan,1203033.0,106135.0,1096898.0,,,,0.6,48.91,143404.0,
2005-09-30,2005,3,statestreet,104003.0,6104.0,97899.0,,,,0.86,31.25,23519.0,
2005-09-30,2005,3,wellsfargo,453494.0,39835.0,413659.0,,,,1.72,0.0,,
2005-08-31,2005,3,morganstanley,837391.0,28226.0,809165.0,,,,0.59,25.07,236348.0,
2005-08-26,2005,3,goldmansachs,669518.0,26607.0,642911.0,,,,0.9,8.02,131145.0,
2005-06-30,2005,2,bankofamerica,1246339.0,101335.0,1145004.0,,,,1.5,38.9,207710.0,
2005-06-30,2005,2,bny,103063.0,9471.0,93592.0,,,,1.19,44.9,1415.0,
2005-06-30,2005,2,citigroup,1547789.0,113037.0,1434752.0,,,,1.4,48.26,252774.0,
2005-06-30,2005,2,citigroup,1547789.0,113037.0,1434752.0,,,,1.4,48.26,252774.0,
2005-06-30,2005,2,jpmorgan,1171283.0,105385.0,1065898.0,,,,0.61,129.76,137350.0,
2005-06-30,2005,2,statestreet,104254.0,6248.0,98006.0,,,,0.81,30.0,24051.0,
2005-06-30,2005,2,wellsfargo,434981.0,39278.0,395703.0,,,,1.71,42.46,,
2005-05-31,2005,2,morganstanley,818711.0,28330.0,790381.0,,,,0.57,31.52,220145.0,
2005-05-27,2005,2,goldmansachs,624472.0,26395.0,598077.0,,,,0.81,14.8,95770.0,
2005-03-31,2005,1,bankofamerica,1212229.0,98927.0,1113302.0,,,,1.56,41.7,187652.0,
2005-03-31,2005,1,bny,96537.0,9335.0,87202.0,,,,1.34,44.06,879.0,
2005-03-31,2005,1,citigroup,1489891.0,110536.0,1379355.0,,,,1.18,44.9,217599.0,
2005-03-31,2005,1,jpmorgan,1178305.0,105340.0,1072965.0,,,,0.46,53.78,137062.0,
2005-03-31,2005,1,statestreet,100094.0,6025.0,94069.0,,,,0.84,22.12,22437.0,
2005-03-31,2005,1,wellsfargo,435643.0,38477.0,397166.0,,,,1.71,43.91,,
2005-02-28,2005,1,morganstanley,802210.0,28495.0,773715.0,,,,0.65,21.31,245204.0,
2005-02-25,2005,1,goldmansachs,596149.0,26075.0,570074.0,,,,0.92,8.47,109137.0,
2004-12-31,2004,4,bankofamerica,1110432.0,100235.0,1010197.0,,,,1.52,47.35,119741.0,
2004-12-31,2004,4,bny,94529.0,9290.0,85239.0,,,,1.34,93.29,1205.0,
2004-12-31,2004,4,citigroup,1484101.0,109291.0,1374810.0,,,,1.18,40.54,209555.0,
2004-12-31,2004,4,jpmorgan,1157248.0,105653.0,1051595.0,,,,0.44,84.52,127787.0,
2004-12-31,2004,4,statestreet,94040.0,6159.0,87881.0,,,,0.88,30.98,22316.0,
2004-12-31,2004,4,wellsfargo,427849.0,37866.0,389983.0,,,,1.72,0.0,,
2004-11-30,2004,4,morganstanley,747334.0,28206.0,719128.0,,,,0.69,22.63,219446.0,
2004-11-26,2004,4,goldmansachs,531379.0,25079.0,506300.0,,,,0.97,10.47,47573.0,
2004-09-30,2004,3,bankofamerica,1072802.0,98634.0,974168.0,,,,1.41,44.73,142992.0,
2004-09-30,2004,3,bny,93175.0,9054.0,84121.0,,,,1.48,43.5,1174.0,
2004-09-30,2004,3,citigroup,1436554.0,103366.0,1333188.0,,,,1.14,41.29,217157.0,
2004-09-30,2004,3,jpmorgan,1138469.0,105852.0,1032617.0,,,,0.48,86.98,167313.0,
2004-09-30,2004,3,statestreet,100527.0,6151.0,94376.0,,,,1.16,30.51,26202.0,
2004-09-30,2004,3,wellsfargo,421549.0,36680.0,384869.0,,,,1.69,0.0,,
2004-08-31,2004,3,morganstanley,745033.0,27420.0,717613.0,,,,0.71,0.0,228990.0,
2004-08-27,2004,3,goldmansachs,486686.0,23514.0,463172.0,,,,0.98,14.11,50876.0,
2004-06-30,2004,2,bankofamerica,1024701.0,95963.0,928738.0,,,,1.29,49.1,119264.0,
2004-06-30,2004,2,bny,97536.0,8785.0,88751.0,,,,1.32,41.78,1315.0,
2004-06-30,2004,2,citigroup,1396568.0,98311.0,1298257.0,,,,1.15,231.26,202940.0,
2004-06-30,2004,2,jpmorgan,817763.0,45941.0,771822.0,,,,0.6,,152619.0,
2004-06-30,2004,2,statestreet,94140.0,5910.0,88230.0,,,,1.23,24.55,23661.0,
2004-06-30,2004,2,wellsfargo,420305.0,35478.0,384827.0,,,,1.69,44.4,,
2004-05-31,2004,2,morganstanley,729501.0,27002.0,702499.0,,,,0.74,44.86,223696.0,
2004-05-28,2004,2,goldmansachs,467921.0,23152.0,444769.0,,,,0.95,10.36,38769.0,
