date,year,quarter,bank,total_assets,total_equity,total_liabilities,cet1_ratio,lcr_ratio,slr_ratio,roa,roe,dividend_payout_ratio,repo,total_var
2010-03-31,2010,1,goldmansachs,880528.0,65987.0,806600.0,,,,,,6.16,153517.0,231.94832968195405
2010-03-31,2010,1,jpmorgan,2135796.0,156569.0,1971075.0,,,,0.61,6.94,7.09,295171.0,115.97416484097702
2010-03-31,2010,1,morganstanley,819719.0,38667.0,764540.0,,,,0.49,2.97,4.75,191482.0,236.1912869322337
2010-03-31,2010,1,statestreet,153971.0,15410.0,138561.0,,,,1.23,-14.59,1.02,13280.0,5.13
2010-03-31,2010,1,wellsfargo,1223630.0,106866.0,1105476.0,,,,0.97,9.08,10.96,,38.0
2009-12-31,2009,4,bankofamerica,2230232.0,194236.0,1998788.0,,,,0.31,-1.32,,255185.0,255.7
2009-12-31,2009,4,bny,212224.0,28977.0,183221.0,,,,-0.36,-4.04,15.31,3348.0,8.1
2009-12-31,2009,4,citigroup,1856646.0,152388.0,1701673.0,,,,-0.06,-7.88,,154281.0,163.0
2009-12-31,2009,4,goldmansachs,848942.0,63757.0,777268.0,,,,1.37,22.1,4.09,128360.0,216.390819764262
2009-12-31,2009,4,jpmorgan,2031989.0,157213.0,1866624.0,,,,0.55,6.01,7.05,261413.0,231.94832968195405
2009-12-31,2009,4,morganstanley,771462.0,37091.0,718682.0,,,,0.2,-2.58,19.66,173057.0,264.4776686007647
2009-12-31,2009,4,statestreet,157946.0,14491.0,143455.0,,,,1.09,-16.11,1.2,15074.0,5.13
2009-12-31,2009,4,wellsfargo,1243646.0,103301.0,1129287.0,,,,0.99,9.34,0.0,26016.0,45.0
2009-09-30,2009,3,bankofamerica,2251043.0,198843.0,1993360.0,,,,0.23,0.32,,249578.0,159.4
2009-09-30,2009,3,bny,212007.0,28295.0,183691.0,,,,-0.6,-6.4,,2553.0,6.0
2009-09-30,2009,3,citigroup,1888599.0,140530.0,1745650.0,,,,-0.73,-18.96,,178159.0,281.0
2009-09-30,2009,3,jpmorgan,2041009.0,154101.0,1878756.0,,,,0.36,4.16,6.39,310219.0,291.34973118586913
2009-09-30,2009,3,morganstanley,769506.0,36752.0,717282.0,,,,-2.13,-69.12,10.37,163758.0,247.5058395996461
